Name,Address,Latitude,Longitude,Business Status,Primary Type,Discovery Tier,Discovery Score,Reasons,Matched Themes,Anchor Markets,Google Maps URL,Place ID
AES Drilling Fluids,"3575 E US Hwy 67, Big Lake, TX 76932, USA",31.1797658,-101.4014633,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; well service field services production support; pump and supply artificial lift production equipment; engine compressor repair service oil gas,Big Lake|TX,https://www.google.com/maps/place/?q=place_id:ChIJC15WvzXX-YYRULXjPiECUq8,ChIJC15WvzXX-YYRULXjPiECUq8
Andrews & Foster Drilling Co,"1301 E Corsicana St, Athens, TX 75751, USA",32.2012039,-95.8331377,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Athens|TX,https://www.google.com/maps/place/?q=place_id:ChIJ6Rxgder9SIYRclCcT1N40Pc,ChIJ6Rxgder9SIYRclCcT1N40Pc
Arcadia Oilfield Supply,"2276 Beech St, Arcadia, LA 71001, USA",32.5506591,-92.92424009999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Arcadia|LA,https://www.google.com/maps/place/?q=place_id:ChIJRfpQxyO7MYYRyeGjhy8PT1s,ChIJRfpQxyO7MYYRyeGjhy8PT1s
"Bangert Well Service, Inc.","1 Industrial Park Rd, Clay City, IL 62824, USA",38.6882149,-88.33409549999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,well service field services production support; oilfield services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Bloomington|IL; Clay City|IL; Flora|IL; Grayville|IL,https://www.google.com/maps/place/?q=place_id:ChIJ0ShLZcffc4gRunFu833qDkE,ChIJ0ShLZcffc4gRunFu833qDkE
Bar C Drilling and Welding,"5190 Jackrabbit Ln, Belgrade, MT 59714, USA",45.7472102,-111.1841683,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 6 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Bozeman|MT,https://www.google.com/maps/place/?q=place_id:ChIJ24LkYUj7WlMRoezyOL_w28E,ChIJ24LkYUj7WlMRoezyOL_w28E
Bee Cave Drilling Inc,"185 Angel Fire Dr, Dripping Springs, TX 78620, USA",30.2548411,-98.165994,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Austin|TX; Bay City|TX,https://www.google.com/maps/place/?q=place_id:ChIJw2ZrUMNqW4YRW7s0EXcOU-8,ChIJw2ZrUMNqW4YRW7s0EXcOU-8
Bob's Oil Field Services Inc.,"3364 US-85, Belfield, ND 58622, USA",46.9244918,-103.1888275,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; well service field services production support; engine compressor repair service oil gas,Belfield|ND,https://www.google.com/maps/place/?q=place_id:ChIJDaDbzf8KJlMRRZvY2zOdpaQ,ChIJDaDbzf8KJlMRRZvY2zOdpaQ
Brewingtons Well Services,"54 Hwy 00, Fredericktown, MO 63645, USA",37.55977540000001,-90.2940069,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Fredericktown|MO,https://www.google.com/maps/place/?q=place_id:ChIJ54C04wI_2IcRHXod1pVIjME,ChIJ54C04wI_2IcRHXod1pVIjME
Bridger Drilling & Pumps,"107 Red Tail Hawk Dr, Belgrade, MT 59714, USA",45.7820353,-111.2042888,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Bozeman|MT,https://www.google.com/maps/place/?q=place_id:ChIJX86xeY03RVMRr5zAQR8Bwr0,ChIJX86xeY03RVMRr5zAQR8Bwr0
Brookwood Oil Field Services,"11756 Covered Bridge Rd, Brookwood, AL 35444, USA",33.21534,-87.31242999999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; oilfield supply pumps equipment rental; well service field services production support,Brookwood|AL; Cottondale|AL,https://www.google.com/maps/place/?q=place_id:ChIJMeQzZLqwiIgRemJpbDwg-Cs,ChIJMeQzZLqwiIgRemJpbDwg-Cs
Buffalo Drilling Co Inc,"10440 Main St #2, Clarence, NY 14031, USA",42.9805576,-78.59895499999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Buffalo|NY,https://www.google.com/maps/place/?q=place_id:ChIJcW5SbZCe04kRKj1fEo_5Ndg,ChIJcW5SbZCe04kRKj1fEo_5Ndg
Calfrac Well Services,"2996 Teller Ct, Grand Junction, CO 81504, USA",39.0758813,-108.4978164,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Grand Junction|CO,https://www.google.com/maps/place/?q=place_id:ChIJTQ8h5sAeR4cR13JAFR-TzyM,ChIJTQ8h5sAeR4cR13JAFR-TzyM
Capstone Drilling,"15574 AL-216, Brookwood, AL 35444, USA",33.256148,-87.332594,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Brookwood|AL; Cottondale|AL,https://www.google.com/maps/place/?q=place_id:ChIJY0Rt3Vy6iIgRfjVhT4Y5UMo,ChIJY0Rt3Vy6iIgRfjVhT4Y5UMo
Castleman Well Drilling & Pump Service,"4095 Hwy 70 E, Waverly, TN 37185, USA",36.0948843,-87.7252079,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; well service field services production support; drilling workover wireline cementing services; mobile well testing hydro testing pressure testing,Brentwood|TN; Cookeville|TN,https://www.google.com/maps/place/?q=place_id:ChIJderKzjNNe4gR4PhCIqyPG34,ChIJderKzjNNe4gR4PhCIqyPG34
Centre Drilling Inc,"935 Walton St, Philipsburg, PA 16866, USA",40.887845,-78.23015099999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Clearfield|PA,https://www.google.com/maps/place/?q=place_id:ChIJD4dNVrcTzIkRYjzF9XVd49w,ChIJD4dNVrcTzIkRYjzF9XVd49w
Cinco Oilfield Services Llc,"1200 N Front St, Fort Stockton, TX 79735, USA",30.8960603,-102.8997673,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; oilfield supply pumps equipment rental; well service field services production support,Fort Stockton|TX,https://www.google.com/maps/place/?q=place_id:ChIJbwETElN58IYRnj0x1Y9HUoY,ChIJbwETElN58IYRnj0x1Y9HUoY
CJ's Well Service Inc.,"1115 Rocklick Br Rd, Keen Mountain, VA 24624, USA",37.2067336,-81.9760641,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; oilfield services,Bluefield|VA; Cedar Bluff|VA; Clintwood|VA; Coeburn|VA,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVeXkT4gRLyPyBt7AWo4,ChIJVVVVVeXkT4gRLyPyBt7AWo4
CNC Oilfield Services,"503 Park Rd, Frierson, LA 71027, USA",32.2232391,-93.7139906,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 6 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; oilfield supply pumps equipment rental; well service field services production support; engine compressor repair service oil gas,Baton Rouge|LA; Frierson|LA,https://www.google.com/maps/place/?q=place_id:ChIJh1N9AqjVMIYRJqoU1UQic5c,ChIJh1N9AqjVMIYRJqoU1UQic5c
Combs Well Service,"5745 FM2494, Athens, TX 75751, USA",32.1759152,-95.88843729999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; well service field services production support; mobile well testing hydro testing pressure testing,Athens|TX,https://www.google.com/maps/place/?q=place_id:ChIJV-G9kTLjSIYRgp_DGR_x9QM,ChIJV-G9kTLjSIYRgp_DGR_x9QM
Coy Landers Well Drilling,"102 Ash Rd, Shelbyville, TN 37160, USA",35.4617684,-86.40471959999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Brentwood|TN; Cookeville|TN,https://www.google.com/maps/place/?q=place_id:ChIJoxwikdvcY4gRqmb3LgTshvI,ChIJoxwikdvcY4gRqmb3LgTshvI
Crites Well Drilling LLC,"1168 Madison 225, Fredericktown, MO 63645, USA",37.5476593,-90.2330941,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Fredericktown|MO,https://www.google.com/maps/place/?q=place_id:ChIJs7S3uqgX2IcRuq_vvfrHZhk,ChIJs7S3uqgX2IcRuq_vvfrHZhk
Crudewell Drilling Inc,"3088 US-127, Albany, KY 42602, USA",36.7393151,-85.13528099999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 6 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Albany|KY; Allen|KY; Beattyville|KY; Covington|KY; Edmonton|KY; Glasgow|KY; Hawesville|KY,https://www.google.com/maps/place/?q=place_id:ChIJ1VM1InGQZ4gRb8faczfzGZg,ChIJ1VM1InGQZ4gRb8faczfzGZg
Diamond G Oilfield Services,"3300 W Dickinson Blvd, Fort Stockton, TX 79735, USA",30.894681,-102.9166379,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; oilfield supply pumps equipment rental; well service field services production support,Fort Stockton|TX,https://www.google.com/maps/place/?q=place_id:ChIJb4lF9Vx58IYReu2S-PbjEps,ChIJb4lF9Vx58IYReu2S-PbjEps
Dover Drilling & Pump Service,"31 Industrial Site Rd, Pinedale, WY 82941, USA",42.8638246,-109.9226234,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Boulder|WY; Douglas|WY,https://www.google.com/maps/place/?q=place_id:ChIJVVXsht6VV4cR2kIUj7Hn8fU,ChIJVVXsht6VV4cR2kIUj7Hn8fU
Downhole Tool Service,"12670 County Rd 25 1/2, Fort Lupton, CO 80621, USA",40.1837328,-104.8195123,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,drilling workover wireline cementing services; oilfield supply pumps equipment rental; well service field services production support; pump and supply artificial lift production equipment,Fort Lupton|CO,https://www.google.com/maps/place/?q=place_id:ChIJ3eLNMiQBbIcRoDtTqFtmodc,ChIJ3eLNMiQBbIcRoDtTqFtmodc
Drilling Equipment Resources,"5153 S 94th E Ave, Tulsa, OK 74145, USA",36.0877532,-95.87198629999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; drilling workover wireline cementing services; oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Bixby|OK; Glenpool|OK,https://www.google.com/maps/place/?q=place_id:ChIJrWQGUw2LtocRCI1xJuX82SA,ChIJrWQGUw2LtocRCI1xJuX82SA
Drilling Fluids Technology,"106 Panel, Elk City, OK 73644, USA",35.3972856,-99.434123,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,drilling workover wireline cementing services; gas compression processing measurement methane services; oilfield supply pumps equipment rental; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Elk City|OK,https://www.google.com/maps/place/?q=place_id:ChIJVw504b7lq4cR3fCuYVpahjU,ChIJVw504b7lq4cR3fCuYVpahjU
Dynamic Drilling Fluids,"7661 TX-35, Bay City, TX 77414, USA",29.0053159,-95.90416359999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 9 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services; pump and supply artificial lift production equipment; engine compressor repair service oil gas,Bay City|TX,https://www.google.com/maps/place/?q=place_id:ChIJ_RGrv_-5QYYRnWNF7ApFHUA,ChIJ_RGrv_-5QYYRnWNF7ApFHUA
Eastern Colorado Well Services,"8341 Co Rd 19, Fort Lupton, CO 80621, USA",40.12201,-104.887072,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; pipeline gathering integrity midstream construction; water hauling environmental disposal oil gas; well service field services production support; mobile well testing hydro testing pressure testing,Fort Lupton|CO; Greeley|CO; Henderson|CO,https://www.google.com/maps/place/?q=place_id:ChIJq-gcuKgPbIcRqentv4zYQMs,ChIJq-gcuKgPbIcRqentv4zYQMs
Eastern Oil Well Services Co,"US-119, Arnoldsburg, WV 25234, USA",38.8001611,-81.1016327,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,well service field services production support; gasfield natural gas well services; oilfield services; drilling workover wireline cementing services,Bridgeport|WV; Ellenboro|WV; Fairmont|WV; Grantsville|WV,https://www.google.com/maps/place/?q=place_id:ChIJ5_FlDKNtSYgRPKAep9GJ_YE,ChIJ5_FlDKNtSYgRPKAep9GJ_YE
Excel Drilling,"16977 Frontage Rd, Bozeman, MT 59715, USA",45.8045589,-111.2309167,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Bozeman|MT,https://www.google.com/maps/place/?q=place_id:ChIJt1P1sZdERVMRwXrIc7gFdBE,ChIJt1P1sZdERVMRwXrIc7gFdBE
Express Well Services & Supply Inc,"1110 Hwy 40, Victoria, KS 67671, USA",38.8469148,-99.14591899999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing; gasfield natural gas well services,Coffeyville|KS; El Dorado|KS; Great Bend|KS,https://www.google.com/maps/place/?q=place_id:ChIJBwV-R6TWo4cRQkxVKeXeKeA,ChIJBwV-R6TWo4cRQkxVKeXeKeA
F & H Drilling Services Inc,"W State Hwy 66, Elk City, OK 73644, USA",35.4110482,-99.4442173,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; pipeline gathering integrity midstream construction; well service field services production support; mobile well testing hydro testing pressure testing,Elk City|OK,https://www.google.com/maps/place/?q=place_id:ChIJJ2BVBf3kq4cRhqrxVcwsysU,ChIJJ2BVBf3kq4cRhqrxVcwsysU
"Frey Well Drilling, Inc.","11565 Broadway, Alden, NY 14004, USA",42.8915905,-78.5558708,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Buffalo|NY,https://www.google.com/maps/place/?q=place_id:ChIJC549Phii04kRK_eg1haL6EE,ChIJC549Phii04kRK_eg1haL6EE
Full Throttle Oilfield Services,"2770 8th Ave, Garden City, CO 80631, USA",40.3928281,-104.6908068,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; gas compression processing measurement methane services; oilfield supply pumps equipment rental; engine compressor repair service oil gas,Centennial|CO; Center|CO; Fort Lupton|CO; Golden|CO; Greeley|CO; Henderson|CO,https://www.google.com/maps/place/?q=place_id:ChIJo_PJ1hihbocRuRHdEKHgvtM,ChIJo_PJ1hihbocRuRHdEKHgvtM
Funk's Drilling Co Inc,"108 Quillen Ave SE, Coeburn, VA 24230, USA",36.9421099,-82.46251439999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 7 strong matched theme(s); repeated across multiple query themes,drilling workover wireline cementing services; gasfield natural gas well services; well service field services production support; NDT inspection tubular pipeline integrity services; oilfield services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; water hauling environmental disposal oil gas; pump and supply artificial lift production equipment,Bluefield|VA; Cedar Bluff|VA; Clintwood|VA; Coeburn|VA,https://www.google.com/maps/place/?q=place_id:ChIJgYba9TqxWogRPbaztm4WTBo,ChIJgYba9TqxWogRPbaztm4WTBo
G & J Drilling,"65351 Pigeon Gap Rd, Cambridge, OH 43725, USA",40.0512292,-81.6106557,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Cambridge|OH; Dennison|OH,https://www.google.com/maps/place/?q=place_id:ChIJVfp_WIG2N4gRbHsbZvT1SPI,ChIJVfp_WIG2N4gRbHsbZvT1SPI
Geo Drilling Fluids Inc,"303 1st Ave SE, Belfield, ND 58622, USA",46.8836301,-103.1967554,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; well service field services production support; mobile well testing hydro testing pressure testing,Belfield|ND,https://www.google.com/maps/place/?q=place_id:ChIJ9TJXh9QJJlMRcdPXXr4LomQ,ChIJ9TJXh9QJJlMRcdPXXr4LomQ
"Geophysical Drilling, Inc.","4400 FM359, Brookshire, TX 77423, USA",29.7368775,-95.9337923,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Bay City|TX; Brookshire|TX; Channelview|TX,https://www.google.com/maps/place/?q=place_id:ChIJQfdyZo88QYYR0eZuLjZcNWg,ChIJQfdyZo88QYYR0eZuLjZcNWg
George Matthews Drilling,"1652 State Hwy V, Fredericktown, MO 63645, USA",37.519021,-90.1278847,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; pipeline gathering integrity midstream construction; well service field services production support,Fredericktown|MO,https://www.google.com/maps/place/?q=place_id:ChIJVQGb1fcQ2IcRQN2ico1KdIE,ChIJVQGb1fcQ2IcRQN2ico1KdIE
Glover's Drilling,"7261 Co Rd 31, Fort Lupton, CO 80621, USA",40.1057305,-104.7738221,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Fort Lupton|CO; Henderson|CO,https://www.google.com/maps/place/?q=place_id:ChIJQYIRxTkRbIcR2cfMeKgq6Tc,ChIJQYIRxTkRbIcR2cfMeKgq6Tc
Gressel Oil Field Services Inc,"714 S Patton Rd, Great Bend, KS 67530, USA",38.3592118,-98.81090879999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; oilfield supply pumps equipment rental; well service field services production support,Great Bend|KS,https://www.google.com/maps/place/?q=place_id:ChIJW3m11eaKo4cRbaJQRL6eg24,ChIJW3m11eaKo4cRbaJQRL6eg24
Griner Drilling Services Inc,"1014 US-98, Columbia, MS 39429, USA",31.2413387,-89.8110358,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 6 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; well service field services production support; NDT inspection tubular pipeline integrity services,Columbia|MS,https://www.google.com/maps/place/?q=place_id:ChIJL91H2cVpnYgRkf0BuCyDkC4,ChIJL91H2cVpnYgRkf0BuCyDkC4
Hayes Drilling,"30 Cokedale Rd, Livingston, MT 59047, USA",45.654025,-110.660517,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Bozeman|MT,https://www.google.com/maps/place/?q=place_id:ChIJGbjGbidkRVMRQxLGu6adtsY,ChIJGbjGbidkRVMRQxLGu6adtsY
Himes Drilling Co Inc,"2390 US-6 and 50, Grand Junction, CO 81505, USA",39.093587,-108.6097694,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Grand Junction|CO,https://www.google.com/maps/place/?q=place_id:ChIJtekUCjEdR4cR-Pt-8UWByVU,ChIJtekUCjEdR4cR-Pt-8UWByVU
IGO Oilfield Services Inc,"38 Jarmon Trail Rd, Douglas, WY 82633, USA",42.7879409,-105.3722076,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; oilfield supply pumps equipment rental; water hauling environmental disposal oil gas; pump and supply artificial lift production equipment; engine compressor repair service oil gas,Douglas|WY,https://www.google.com/maps/place/?q=place_id:ChIJlXRdX1hKYYcRi08Jg6dV1ko,ChIJlXRdX1hKYYcRi08Jg6dV1ko
Industrial Hose & Oilfield Supply,"205 N Texas Ave, Big Lake, TX 76932, USA",31.1924112,-101.4632191,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; oilfield supply pumps equipment rental; pump and supply artificial lift production equipment; engine compressor repair service oil gas,Big Lake|TX,https://www.google.com/maps/place/?q=place_id:ChIJ1YtcxMXW-YYRtjNv43CG3ho,ChIJ1YtcxMXW-YYRtjNv43CG3ho
Intrepid Drilling,"320 2nd St, Columbia, MS 39429, USA",31.2516115,-89.8339984,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; NDT inspection tubular pipeline integrity services,Columbia|MS,https://www.google.com/maps/place/?q=place_id:ChIJ_V8S0hlonYgRym3-IJh_uPc,ChIJ_V8S0hlonYgRym3-IJh_uPc
J & L Well Service & Pump Repair,"3920 S Meridian St, Indianapolis, IN 46217, USA",39.7093909,-86.1598176,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Clay County|IN,https://www.google.com/maps/place/?q=place_id:ChIJoQ7lTPRLa4gRw8QifO4aMic,ChIJoQ7lTPRLa4gRw8QifO4aMic
Jacobs Well Drilling,"2627 Wayside Rd, Manchester, TN 37355, USA",35.5351799,-86.0251309,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; well service field services production support; drilling workover wireline cementing services; mobile well testing hydro testing pressure testing,Chattanooga|TN; Cookeville|TN,https://www.google.com/maps/place/?q=place_id:ChIJxRurWTBCYYgRCyWbHgBazmM,ChIJxRurWTBCYYgRCyWbHgBazmM
James Drilling Co,"6235 W 56th Ave, Arvada, CO 80002, USA",39.7985466,-105.0641294,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Centennial|CO; Fort Lupton|CO; Golden|CO; Greeley|CO; Henderson|CO,https://www.google.com/maps/place/?q=place_id:ChIJDaeNLtuHa4cRhzcK0HooVUQ,ChIJDaeNLtuHa4cRhzcK0HooVUQ
JWT Well Services Inc.,"112 Ferguson Ln, Pikeville, KY 41501, USA",37.4836398,-82.5134485,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,well service field services production support; drilling workover wireline cementing services; gasfield natural gas well services; mobile well testing hydro testing pressure testing,Albany|KY; Allen|KY; Beattyville|KY; Coeburn|VA; Edmonton|KY; Hawesville|KY,https://www.google.com/maps/place/?q=place_id:ChIJl0dUKYFrRYgRpDXpOYbkYjU,ChIJl0dUKYFrRYgRpDXpOYbkYjU
Klima Well Services Inc,"908 MacArthur Rd, Great Bend, KS 67530, USA",38.3606672,-98.80633139999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; water hauling environmental disposal oil gas; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Great Bend|KS,https://www.google.com/maps/place/?q=place_id:ChIJo7Y4cTSKo4cRqal6UQVlxZA,ChIJo7Y4cTSKo4cRqal6UQVlxZA
