Name,Address,Latitude,Longitude,Business Status,Primary Type,Discovery Tier,Discovery Score,Reasons,Matched Themes,Anchor Markets,Google Maps URL,Place ID
Fast Energy Services,"2682 138th Ave NW, Alexander, ND 58831, USA",47.800988,-103.539715,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; hot shot trucking safety automation oil gas,Arnegard|ND,https://www.google.com/maps/place/?q=place_id:ChIJF3Md7kOpJlMRnhct6jYim-0,ChIJF3Md7kOpJlMRnhct6jYim-0
Fort Stockton Welding Supply Inc,"1901 N Front St, Fort Stockton, TX 79735, USA",30.9027221,-102.8846353,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gas compression processing measurement methane services; oilfield supply pumps equipment rental; roustabout welding fabrication facility services,Fort Stockton|TX,https://www.google.com/maps/place/?q=place_id:ChIJ6ThY7Lp-8IYRfRwmdn23yng,ChIJ6ThY7Lp-8IYRfRwmdn23yng
G-Tec Natural Gas Systems,"201 Dutton Ave, Buffalo, NY 14211, USA",42.9201934,-78.8325478,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; hot shot trucking safety automation oil gas,Buffalo|NY,https://www.google.com/maps/place/?q=place_id:ChIJp1FQAEwN04kRpWNF_Uw15IY,ChIJp1FQAEwN04kRpWNF_Uw15IY
GD Energy Products,"1700 Orval Rd, Conroe, TX 77301, USA",30.3015391,-95.42587239999999,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Conroe|TX,https://www.google.com/maps/place/?q=place_id:ChIJsZfseKA5R4YRQknHMe3RRI0,ChIJsZfseKA5R4YRQknHMe3RRI0
Grande River Environmental,"759 Horizon Dr Ste H, Grand Junction, CO 81506, USA",39.1145229,-108.536716,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gas compression processing measurement methane services; water hauling environmental disposal oil gas; mobile well testing hydro testing pressure testing,Grand Junction|CO,https://www.google.com/maps/place/?q=place_id:ChIJybVk_kIfR4cRam-tHIM_sTg,ChIJybVk_kIfR4cRam-tHIM_sTg
Grayville Gas,"2500 County Rd 2125 E, Grayville, IL 62844, USA",38.2445126,-87.9903142,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Grayville|IL,https://www.google.com/maps/place/?q=place_id:ChIJrwvcUei8cYgR2FF3yp5uBk4,ChIJrwvcUei8cYgR2FF3yp5uBk4
MarkWest Energy Langley Plant,"72 Maple St, Langley, KY 41645, USA",37.5274047,-82.7992019,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Allen|KY,https://www.google.com/maps/place/?q=place_id:ChIJmRRTZr8bRYgRh21Rb_JZV7Y,ChIJmRRTZr8bRYgRh21Rb_JZV7Y
"Mountain Gas Services, LLC","2800 Lamberton Rd, Pennsboro, WV 26415, USA",39.2830664,-81.015032,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Bridgeport|WV; Ellenboro|WV; Fairmont|WV; Grantsville|WV,https://www.google.com/maps/place/?q=place_id:ChIJG-ljSLGNSYgRZ-Y8WIC09Vw,ChIJG-ljSLGNSYgRZ-Y8WIC09Vw
"MPH Energy Services, LLC","205 Industrial Trce, Broussard, LA 70518, USA",30.1607404,-91.9769388,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Broussard|LA,https://www.google.com/maps/place/?q=place_id:ChIJCwEuI7qCJIYROhbOn-cGFes,ChIJCwEuI7qCJIYROhbOn-cGFes
Northern Tank Truck Services,"10764 Old US Hwy 27 S S, Gaylord, MI 49735, USA",44.8764853,-84.6996351,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; water hauling environmental disposal oil gas; hot shot trucking safety automation oil gas,Gaylord|MI,https://www.google.com/maps/place/?q=place_id:ChIJgRjtva1MNU0RLL1oGI1h954,ChIJgRjtva1MNU0RLL1oGI1h954
